step,dataset,model,attack,selection_metric,budget_ratio,id_ratio,before_acc,after_acc,acc_gain
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.1,0.5,0.6896666666666667,0.6973333333333334,0.0076666666666667105
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.1,0.75,0.6896666666666667,0.699,0.009333333333333305
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.2,0.25,0.6896666666666667,0.7053333333333334,0.015666666666666718
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.2,0.5,0.6896666666666667,0.7046666666666667,0.015000000000000013
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.2,0.75,0.6896666666666667,0.705,0.01533333333333331
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.3,0.25,0.6896666666666667,0.7093333333333334,0.01966666666666672
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.3,0.5,0.6896666666666667,0.713,0.023333333333333317
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,random,0.3,0.75,0.6896666666666667,0.7143333333333334,0.024666666666666726
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.1,0.25,0.6896666666666667,0.7063333333333334,0.01666666666666672
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.1,0.5,0.6896666666666667,0.7073333333333334,0.01766666666666672
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.1,0.75,0.6896666666666667,0.7056666666666667,0.016000000000000014
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.2,0.25,0.6896666666666667,0.712,0.022333333333333316
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.2,0.5,0.6896666666666667,0.7136666666666667,0.02400000000000002
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.2,0.75,0.6896666666666667,0.717,0.02733333333333332
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.3,0.25,0.6896666666666667,0.727,0.03733333333333333
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.3,0.5,0.6896666666666667,0.726,0.03633333333333333
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,uncertainty,0.3,0.75,0.6896666666666667,0.73,0.04033333333333333
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.1,0.25,0.6896666666666667,0.7066666666666667,0.017000000000000015
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.1,0.5,0.6896666666666667,0.7066666666666667,0.017000000000000015
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.1,0.75,0.6896666666666667,0.7093333333333334,0.01966666666666672
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.2,0.25,0.6896666666666667,0.714,0.024333333333333318
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.2,0.5,0.6896666666666667,0.7173333333333334,0.027666666666666728
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.2,0.75,0.6896666666666667,0.7196666666666667,0.030000000000000027
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.3,0.25,0.6896666666666667,0.723,0.033333333333333326
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.3,0.5,0.6896666666666667,0.725,0.03533333333333333
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,entropy,0.3,0.75,0.6896666666666667,0.7296666666666667,0.040000000000000036
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.1,0.25,0.6896666666666667,0.693,0.0033333333333332993
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.1,0.5,0.6896666666666667,0.6946666666666667,0.0050000000000000044
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.1,0.75,0.6896666666666667,0.6936666666666667,0.0040000000000000036
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.2,0.25,0.6896666666666667,0.7003333333333334,0.010666666666666713
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.2,0.5,0.6896666666666667,0.7003333333333334,0.010666666666666713
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.2,0.75,0.6896666666666667,0.7003333333333334,0.010666666666666713
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.3,0.25,0.6896666666666667,0.7006666666666667,0.01100000000000001
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.3,0.5,0.6896666666666667,0.7066666666666667,0.017000000000000015
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,gd,0.3,0.75,0.6896666666666667,0.7066666666666667,0.017000000000000015
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.1,0.25,0.6896666666666667,0.7063333333333334,0.01666666666666672
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.1,0.5,0.6896666666666667,0.708,0.018333333333333313
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.1,0.75,0.6896666666666667,0.7103333333333334,0.020666666666666722
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.2,0.25,0.6896666666666667,0.7126666666666667,0.02300000000000002
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.2,0.5,0.6896666666666667,0.7133333333333334,0.023666666666666725
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.2,0.75,0.6896666666666667,0.7173333333333334,0.027666666666666728
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.3,0.25,0.6896666666666667,0.724,0.03433333333333333
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.3,0.5,0.6896666666666667,0.7283333333333334,0.03866666666666674
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_rank,0.3,0.75,0.6896666666666667,0.733,0.043333333333333335
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.1,0.25,0.6896666666666667,0.7056666666666667,0.016000000000000014
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.1,0.5,0.6896666666666667,0.7113333333333334,0.021666666666666723
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.1,0.75,0.6896666666666667,0.7083333333333334,0.01866666666666672
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.2,0.25,0.6896666666666667,0.7133333333333334,0.023666666666666725
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.2,0.5,0.6896666666666667,0.7146666666666667,0.025000000000000022
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.2,0.75,0.6896666666666667,0.7176666666666667,0.028000000000000025
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.3,0.25,0.6896666666666667,0.7236666666666667,0.03400000000000003
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.3,0.5,0.6896666666666667,0.7263333333333334,0.036666666666666736
retrain,NF-ToN-IoT-v3.csv,LSTM,pgd,ensemble_hybrid,0.3,0.75,0.6896666666666667,0.7283333333333334,0.03866666666666674
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.1,0.25,0.7216666666666667,0.7323333333333333,0.010666666666666602
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.1,0.5,0.7216666666666667,0.734,0.012333333333333307
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.1,0.75,0.7216666666666667,0.734,0.012333333333333307
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.2,0.25,0.7216666666666667,0.7453333333333333,0.023666666666666614
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.2,0.5,0.7216666666666667,0.7473333333333333,0.025666666666666615
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.2,0.75,0.7216666666666667,0.7506666666666667,0.029000000000000026
retrain,NF-ToN-IoT-v3.csv,LSTM,gdkde,random,0.3,0.25,0.7216666666666667,0.754,0.032333333333333325
